KODE;NAMA PRODUK;TANGGAL;NO.TRANSAKSI;QTY.MSK;NILAI MSK;QTY.KLR;NILAI KLR;NAMA PRODUK STOK;LOKASI;QTY.STOK;UNIT
A000001;ANATON TAB;2021-07-06;1.13-210706.0908-003;10.0;2520.0;0.0;0.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.6-210712.1519-097;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.11-210712.1633-013;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.13-210712.1807-013;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.11-210712.1855-018;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.11-210712.1925-027;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.11-210712.1957-035;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-12;2.6-210712.0907-023;0.0;0.0;2.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-13;2.11-210713.1102-011;0.0;0.0;1.0;3000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-07-13;2.6-210713.1701-006;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-08-23;1.12-210823.1955-003;10.0;3139.15;0.0;0.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-09-20;2.11-210920.2012-139;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-10-13;1.11-211013.1609-006;10.0;3186.98;0.0;0.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-10-27;2.11-211027.1633-088;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-11-10;2.13-211110.1228-002;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-12-06;2.11-211206.0922-020;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-12-14;2.11-211214.2048-159;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-12-14;2.11-211214.1636-065;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-12-20;2.11-211220.1153-049;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A000001;ANATON TAB;2021-12-21;2.11-211221.1336-004;0.0;0.0;1.0;4000.0;ANATON TAB;ETL1;12.0;"STRIP
"
A00000156;zz;2021-03-25;1.13-210325.2028-006;4.0;14355.43;0.0;0.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000156;zz;2021-03-27;2.11-210327.1907-126;0.0;0.0;1.0;17500.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000156;zz;2021-04-09;2.11-210409.0845-005;0.0;0.0;2.0;17500.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000156;zz;2021-04-10;2.11-210410.1203-048;0.0;0.0;1.0;17500.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-03-25;1.13-210325.2028-006;3.0;20295.6;0.0;0.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-11;2.6-210711.1539-028;0.0;0.0;1.0;25000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-18;2.11-210718.1934-113;0.0;0.0;1.0;25000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-21;2.11-210721.0948-025;0.0;0.0;1.0;25000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-22;1.11-210722.1949-005;3.0;21425.19;0.0;0.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-23;2.11-210723.1727-143;0.0;0.0;1.0;25000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-24;2.11-210724.1512-064;0.0;0.0;1.0;25000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00000157;z;2021-07-25;2.11-210725.1749-009;0.0;0.0;1.0;25000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000002;ASEPTIC PLUS SPRAY;2021-07-15;1.6-210715.1726-001;3.0;11000.0;0.0;0.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000002;ASEPTIC PLUS SPRAY;2021-07-18;2.11-210718.1455-012;0.0;0.0;1.0;15000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A000002;ASEPTIC PLUS SPRAY;2021-07-19;2.11-210719.1721-176;0.0;0.0;2.0;15000.0;Not Found in Stok;ETL1;0.0;"STRIP
"
A00001;ACTIVED HIJAU;2021-01-05;2.11-210105.1841-110;0.0;0.0;1.0;54500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-07;1.11-210107.1939-001;2.0;51986.71;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-15;2.11-210115.1218-122;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-23;2.11-210123.1734-100;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-25;1.13-210125.0536-006;2.0;51985.1;0.0;0.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-01-25;2.11-210125.0608-120;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
A00001;ACTIVED HIJAU;2021-02-02;2.11-210202.1622-071;0.0;0.0;1.0;57500.0;ACTIVED HIJAU;ETL3A;2.0;"BTL
"
